ID	Functional_category
YER005W	Not visu...
YER006W	NUCLEUS
YER007C_A	CYTOPLASM
YER008C	BUD NECK
YER011W	ER
YER013W	NUCLEUS
YER016W	MICROTUBULE
YER017C	MITOCHON...
YER018C	SPINDLE ...
YER019C_A	ER
YER020W	CELL PER...
YER021W	NUCLEUS
YER022W	NUCLEUS
YER023W	CYTOPLASM
YER024W	CYTOPLASM
YER025W	CYTOPLASM
YER027C	CYTOPLASM
YER029C	NUCLEUS
YER030W	NUCLEUS
YER031C	CYTOPLASM
YER032W	CYTOPLASM
YER033C	CYTOPLASM
YER034W	CYTOPLASM
YER035W	NUCLEUS
YER037W	CYTOPLASM
YER038C	CYTOPLASM
YER040W	CYTOPLASM
YER042W	CYTOPLASM
YER043C	CYTOPLASM
YER044C	ER
YER047C	CYTOPLASM
YER048W_A	MITOCHON...
YER049W	NUCLEUS
YER052C	CYTOPLASM
YER053C	MITOCHON...
YER053C_A	ER
YER054C	CYTOPLASM
YER056C	VACUOLE
YER056C_A	CYTOPLASM
YER059W	CYTOPLASM
YER061C	MITOCHON...
YER062C	CYTOPLASM
YER063W	NUCLEUS
YER067W	CYTOPLASM
YER068W	CYTOPLASM
YER069W	MITOCHON...
YER070W	Not Visu...
YER071C	PUNCTATE...
YER072W	ER
YER073W	MITOCHON...
YER074W	CYTOPLASM
YER075C	CYTOPLASM
YER077C	MITOCHON...
YER078C	MITOCHON...
YER079W	CYTOPLASM
YER081W	CYTOPLASM
YER086W	MITOCHON...
YER088C	NUCLEUS
YER090W	CYTOPLASM
YER091C	CYTOPLASM
YER092W	NUCLEUS
YER095W	CYTOPLASM
YER098W	CYTOPLASM
YER099C	CYTOPLASM
YER100W	ER
YER101C	CYTOPLASM
